dataset,id1,id2,isInStrictBlockingDecay,isInStrictBlockingNoDecay,isInValueSetBlocking,isInSequenceBlocking,isInExactMatchBlocking,isSemanticRoleMatch,compatibilityPercentageDecay,compatibilityPercentageNoDecay,exactSequenceMatchPercentage,hasTransitionOverlapNoDecay,hasTransitionOverlapDecay,hasValueSetOverlap,isInSVABlockingNoDecay,isInSVABlockingDecay,VACount,DVACount,isInTSMBlockingNoWildcard,isInTSMBlockingWithWildcard,strictlyCompatiblePercentage
tv_and_film,infobox film||8574921||126718588-0||country,infobox television||30957602||415090990-0||country,true,false,false,false,false,false,1.0,0.9870689655172413,0.7015781922525107,true,true,true,true,true,489,2,false,false,0.8448275862068966
tv_and_film,infobox film||33200310||453105486-0||language,infobox_film||5099214||89693412-0||language,false,false,true,false,false,false,0.8362068965517241,0.8362068965517241,0.4720229555236729,true,true,true,true,true,329,2,false,false,0.5804597701149425
tv_and_film,infobox_film||3700174||34922025-0||budget,infobox_movie||158982||17920380-0||budget,false,false,false,false,false,false,0.9137931034482759,0.9137931034482759,0.7675753228120517,true,true,true,true,true,535,2,false,false,0.8074712643678161
tv_and_film,infobox film||10468204||122532431-0||language,infobox film||9541497||173704059-0||language,false,false,false,false,false,false,0.9037356321839081,0.7988505747126436,0.7503586800573888,true,true,true,true,true,523,2,false,false,0.7988505747126436
tv_and_film,infobox_movie||204839||11549022-0||country,infobox_movie||525314||13038334-0||country,false,false,false,false,false,false,0.7341954022988506,0.632183908045977,0.4232424677187948,true,true,true,true,true,295,3,false,false,0.4324712643678161
tv_and_film,infobox film||17595645||214675671-0||country,infobox film||22842262||290637823-0||country,false,false,false,false,false,false,0.9137931034482759,0.9137931034482759,0.8278335724533716,false,false,true,true,true,577,2,false,false,0.8836206896551724
tv_and_film,infobox film||13053911||164397470-0||country,infobox film||4578695||72884624-0||country,false,false,false,false,false,false,0.9597701149425287,0.8520114942528736,0.7101865136298422,false,false,true,true,true,495,3,false,false,0.7198275862068966
tv_and_film,infobox actor||2499552||167935863-0||image,infobox actor||7544904||181015019-0||image,false,false,false,false,false,false,0.8836206896551724,0.6379310344827587,0.624103299856528,false,false,true,true,true,435,2,false,false,0.6379310344827587
tv_and_film,infobox tv channel||15876465||193026466-0||cable serv 2,infobox tv channel||26359438||346680491-0||cable serv 1,false,false,false,false,false,false,0.9640804597701149,0.9066091954022989,0.7532281205164992,true,true,true,true,true,525,2,false,false,0.7672413793103449
tv_and_film,infobox film||24725226||320414538-0||country,infobox_movie||277006||14905529-0||country,false,false,false,false,false,false,0.985632183908046,0.9410919540229885,0.6126255380200861,true,true,true,true,true,427,2,false,false,0.8635057471264368
tv_and_film,infobox television episode||10147862||116356324-0||series,infobox television episode||13468288||163227054-0||series,false,false,true,true,false,false,0.8836206896551724,0.8836206896551724,0.8421807747489239,true,true,true,true,true,587,2,false,false,0.8836206896551724
tv_and_film,infobox television episode||13280513||228610128-0||series,infobox television episode||6805542||221688384-0||series,true,true,true,true,false,false,1.0,1.0,0.9928263988522238,true,true,true,true,true,692,2,true,true,1.0
tv_and_film,infobox film||461563||32797951-0||country,infobox television||1717442||14845591-0||country,false,false,false,false,false,false,0.8491379310344828,0.6264367816091954,0.3945480631276901,false,false,true,true,true,275,2,false,false,0.4367816091954023
tv_and_film,infobox actor||1338939||89276603-0||image,infobox actor||5142227||125533099-0||image,true,false,true,false,false,false,1.0,0.639367816091954,0.599713055954089,false,false,true,true,true,418,2,false,false,0.639367816091954
tv_and_film,infobox television||18989703||235619983-0||network,infobox television||5344719||55856746-0||network,false,false,false,false,false,false,0.8333333333333334,0.6853448275862069,0.5150645624103299,false,false,true,true,true,359,2,false,false,0.5517241379310345
tv_and_film,infobox television||1170565||81340440-1||num_seasons,infobox television||23568499||302365126-0||num_seasons,false,false,false,false,false,false,0.8735632183908046,0.7040229885057471,0.43615494978479197,false,false,true,true,true,304,2,false,false,0.6063218390804598
tv_and_film,infobox television||33759615||460832364-0||num_seasons,infobox television||35139405||482758270-0||num_series,false,false,false,false,false,false,0.875,0.875,0.806312769010043,true,true,true,true,true,562,3,false,false,0.8376436781609196
tv_and_film,infobox film||12481557||147463479-0||language,infobox_film||24388866||314753289-0||language,false,false,false,false,false,false,0.9439655172413793,0.8635057471264368,0.6944045911047346,true,true,true,true,true,484,2,false,false,0.8247126436781609
tv_and_film,infobox film||1735236||80761392-0||country,infobox_movie||286544||8770754-0||country,false,false,false,false,false,false,0.7844827586206896,0.7126436781609196,0.5279770444763271,false,false,true,true,true,368,2,false,false,0.6623563218390804
tv_and_film,infobox film||8574921||126718588-0||country,infobox television||1189938||297847756-0||country,true,false,false,false,false,false,1.0,0.9870689655172413,0.8263988522238164,true,true,true,true,true,576,2,false,false,0.8448275862068966
tv_and_film,infobox film||14545761||175583897-0||distributor,infobox film||5416352||96338587-0||distributor,false,false,false,false,false,false,0.9051724137931034,0.9051724137931034,0.8263988522238164,true,true,true,true,true,576,2,false,false,0.8261494252873564
tv_and_film,infobox_film||572255||79807132-0||country,infobox_movie||14725310||34472239-0||country,false,false,false,false,false,false,0.8563218390804598,0.6436781609195402,0.4332855093256815,false,false,true,true,true,302,2,false,false,0.4885057471264368
tv_and_film,infobox film||188902||31664517-0||language,infobox television||2833518||88781616-0||language,false,false,false,false,false,false,0.8548850574712644,0.7902298850574713,0.6987087517934003,true,true,true,true,true,487,2,false,false,0.7902298850574713
tv_and_film,infobox film||1118765||115825001-0||country,infobox tv channel||11076801||128528968-0||country,false,false,false,false,false,false,0.8807471264367817,0.8706896551724138,0.860832137733142,true,true,true,true,true,600,2,false,false,0.860632183908046
tv_and_film,infobox television||19346802||39491952-0||channel,infobox television||3278506||231562304-0||channel,false,false,false,false,false,false,0.9583333333333334,0.9252873563218391,0.6542324246771879,true,true,true,true,true,456,2,false,false,0.9037356321839081
tv_and_film,infobox film||3509990||143560654-0||language,infobox_movie||301314||9246140-0||language,false,false,false,false,false,false,0.6810344827586207,0.5718390804597702,0.38593974175035867,false,false,true,true,true,269,2,false,false,0.47270114942528735
tv_and_film,infobox film||23850547||305859721-0||country,infobox_movie||306195||26045090-0||country,false,false,false,false,false,false,0.8132183908045977,0.8132183908045977,0.5294117647058824,false,false,true,true,true,369,2,false,false,0.7859195402298851
tv_and_film,infobox actor||1028253||123568468-0||image,infobox actor||5493898||199102899-0||image,false,false,false,false,false,false,0.9181034482758621,0.9080459770114943,0.5868005738880918,false,false,true,true,true,409,2,false,false,0.7600574712643678
tv_and_film,infobox film||11143094||129625072-0||language,infobox film||11143271||129627455-0||language,true,false,true,true,false,false,1.0,0.853448275862069,0.8536585365853658,true,true,true,true,true,595,2,true,false,0.853448275862069
tv_and_film,infobox_film||18640305||157421266-0||country,infobox_movie||29942||21180450-0||country,false,false,false,false,false,false,0.882183908045977,0.7902298850574713,0.6255380200860832,true,true,true,true,true,436,2,false,false,0.7801724137931034
tv_and_film,infobox film||534778||84049030-0||distributor,infobox_movie||666923||13414944-0||distributor,false,false,false,false,false,false,0.9238505747126436,0.8017241379310345,0.48206599713055953,true,true,true,true,true,336,2,false,false,0.507183908045977
tv_and_film,infobox actor||11092716||128775570-0||image,infobox actor||9604872||109483979-0||image,false,false,false,false,false,false,0.6508620689655172,0.6436781609195402,0.5595408895265424,false,false,true,true,true,390,2,false,false,0.5603448275862069
tv_and_film,infobox television episode||7938671||15737658-0||series_🔗_extractedLink0,infobox television episode||7957691||15023882-0||series_🔗_extractedLink0,false,false,true,true,false,false,0.9885057471264368,0.9885057471264368,0.9885222381635581,true,true,true,true,true,689,2,true,true,0.9885057471264368
tv_and_film,infobox film||1458772||138674505-0||country,infobox film||772823||136885780-0||country,false,false,false,false,false,false,0.8318965517241379,0.8318965517241379,0.533715925394548,true,true,true,true,true,372,2,false,false,0.7859195402298851
tv_and_film,infobox film||6392129||85827215-0||country,infobox_movie||142274||21856882-0||country,false,false,false,false,false,false,0.8002873563218391,0.6681034482758621,0.5581061692969871,false,false,true,true,true,389,2,false,false,0.6681034482758621
tv_and_film,infobox television||13105225||155795958-0||country,infobox_movie||1364770||29465555-0||language,false,false,true,false,false,false,0.8635057471264368,0.7859195402298851,0.6197991391678622,true,true,true,true,true,432,2,false,false,0.6537356321839081
tv_and_film,infobox film||6733074||72405251-0||language,infobox film||6849827||73895528-0||language,false,false,true,true,false,false,0.9554597701149425,0.9554597701149425,0.9540889526542324,true,true,true,true,true,665,2,true,true,0.9554597701149425
